accelX,accelY,accelZ,magnetX,magnetY,magnetZ,Time
0,0,-9.8100001920853,1,0,0,0
0,0,-9.8100001920853,1,0,0,0.0099999997764826
0,0,-9.8100001920853,1,0,0,0.019999999552965
0,0,-9.8100001920853,1,0,0,0.029999999329448
0,0,-9.8100001920853,1,0,0,0.03999999910593
0,0,-9.8100001920853,1,0,0,0.050000000745058
0,0,-9.8100001920853,1,0,0,0.059999998658895
0,0,-9.8100001920853,1,0,0,0.070000000298023
0,0,-9.8100001920853,1,0,0,0.079999998211861
0,0,-9.8100001920853,1,0,0,0.090000003576279
0,0,-9.8100001920853,1,0,0,0.10000000149012
0,0,-9.8100001920853,1,0,0,0.10999999940395
0,0,-9.8100001920853,1,0,0,0.11999999731779
0,0,-9.8100001920853,1,0,0,0.12999999523163
0,0,-9.8100001920853,1,0,0,0.14000000059605
0,0,-9.8100001920853,1,0,0,0.15000000596046
0,0,-9.8100001920853,1,0,0,0.15999999642372
0,0,-9.8100001920853,1,0,0,0.17000000178814
0,0,-9.8100001920853,1,0,0,0.18000000715256
0,0,-9.8100001920853,1,0,0,0.18999999761581
0,0,-9.8100001920853,1,0,0,0.20000000298023
0,0,-9.8100001920853,1,0,0,0.20999999344349
0,0,-9.8100001920853,1,0,0,0.21999999880791
0,0,-9.8100001920853,1,0,0,0.23000000417233
0,0,-9.8100001920853,1,0,0,0.23999999463558
0,0,-9.8100001920853,1,0,0,0.25
0,0,-9.8100001920853,1,0,0,0.25999999046326
0,0,-9.8100001920853,1,0,0,0.27000001072884
0,0,-9.8100001920853,1,0,0,0.28000000119209
0,0,-9.8100001920853,1,0,0,0.28999999165535
0,0,-9.8100001920853,1,0,0,0.30000001192093
0,0,-9.8100001920853,1,0,0,0.31000000238419
0,0,-9.8100001920853,1,0,0,0.31999999284744
0,0,-9.8100001920853,1,0,0,0.33000001311302
0,0,-9.8100001920853,1,0,0,0.34000000357628
0,0,-9.8100001920853,1,0,0,0.34999999403954
0,0,-9.8100001920853,1,0,0,0.36000001430511
0,0,-9.8100001920853,1,0,0,0.37000000476837
0,0,-9.8100001920853,1,0,0,0.37999999523163
0,0,-9.8100001920853,1,0,0,0.38999998569489
0,0,-9.8100001920853,1,0,0,0.40000000596046
0,0,-9.8100001920853,1,0,0,0.40999999642372
0,0,-9.8100001920853,1,0,0,0.41999998688698
0,0,-9.8100001920853,1,0,0,0.43000000715256
0,0,-9.8100001920853,1,0,0,0.43999999761581
0,0,-9.8100001920853,1,0,0,0.44999998807907
0,0,-9.8100001920853,1,0,0,0.46000000834465
0,0,-9.8100001920853,1,0,0,0.46999999880791
0,0,-9.8100001920853,1,0,0,0.47999998927116
0,0,-9.8100001920853,1,0,0,0.49000000953674
0,0,-9.8100001920853,1,0,0,0.5
0,0,-9.8100001920853,1,0,0,0.50999999046326
0,0,-9.8100001920853,1,0,0,0.51999998092651
0,0,-9.8100001920853,1,0,0,0.52999997138977
0,0,-9.8100001920853,1,0,0,0.54000002145767
0,0,-9.8100001920853,1,0,0,0.55000001192093
0,0,-9.8100001920853,1,0,0,0.56000000238419
0,0,-9.8100001920853,1,0,0,0.56999999284744
0,0,-9.8100001920853,1,0,0,0.5799999833107
0,0,-9.8100001920853,1,0,0,0.58999997377396
0,0,-9.8100001920853,1,0,0,0.60000002384186
0,0,-9.8100001920853,1,0,0,0.61000001430511
0,0,-9.8100001920853,1,0,0,0.62000000476837
0,0,-9.8100001920853,1,0,0,0.62999999523163
0,0,-9.8100001920853,1,0,0,0.63999998569489
0,0,-9.8100001920853,1,0,0,0.64999997615814
0,0,-9.8100001920853,1,0,0,0.66000002622604
0,0,-9.8100001920853,1,0,0,0.6700000166893
0,0,-9.8100001920853,1,0,0,0.68000000715256
0,0,-9.8100001920853,1,0,0,0.68999999761581
0,0,-9.8100001920853,1,0,0,0.69999998807907
0,0,-9.8100001920853,1,0,0,0.70999997854233
0,0,-9.8100001920853,1,0,0,0.72000002861023
0,0,-9.8100001920853,1,0,0,0.73000001907349
0,0,-9.8100001920853,1,0,0,0.74000000953674
0,0,-9.8100001920853,1,0,0,0.75
0,0,-9.8100001920853,1,0,0,0.75999999046326
0,0,-9.8100001920853,1,0,0,0.76999998092651
0,0,-9.8100001920853,1,0,0,0.77999997138977
0,0,-9.8100001920853,1,0,0,0.79000002145767
0,0,-9.8100001920853,1,0,0,0.80000001192093
0,0,-9.8100001920853,1,0,0,0.81000000238419
0,0,-9.8100001920853,1,0,0,0.81999999284744
0,0,-9.8100001920853,1,0,0,0.8299999833107
0,0,-9.8100001920853,1,0,0,0.83999997377396
0,0,-9.8100001920853,1,0,0,0.85000002384186
0,0,-9.8100001920853,1,0,0,0.86000001430511
0,0,-9.8100001920853,1,0,0,0.87000000476837
0,0,-9.8100001920853,1,0,0,0.87999999523163
0,0,-9.8100001920853,1,0,0,0.88999998569489
0,0,-9.8100001920853,1,0,0,0.89999997615814
0,0,-9.8100001920853,1,0,0,0.91000002622604
0,0,-9.8100001920853,1,0,0,0.9200000166893
0,0,-9.8100001920853,1,0,0,0.93000000715256
0,0,-9.8100001920853,1,0,0,0.93999999761581
0,0,-9.8100001920853,1,0,0,0.94999998807907
0,0,-9.8100001920853,1,0,0,0.95999997854233
0,0,-9.8100001920853,1,0,0,0.97000002861023
0,0,-9.8100001920853,1,0,0,0.98000001907349
0,0,-9.8100001920853,1,0,0,0.99000000953674
0,0,-9.8100001920853,1,0,0,1
0,0,-9.8100001920853,1,0,0,1.0099999904633
